"","grid_id","repl","dispersal","plevel","ptype","pext","ext_pops","ext_pops_after","mean_cv","cv_reg","mean_10_during","min_10_during","max_10_during","mean_10_after","max_10_after","min_10_after","mean_cv_10_after","cv_reg_10_after"
"1510","star",14,0.9,"0.3","hub","0.9",0,15,0.864633707115222,0.55007750193001,499.766583329008,382.549583142615,749.576019402309,0,0,0,NA,NA
"1511","star",14,0.9,"0.6","hub","0.9",0,15,0.949902467284913,0.616178239080825,642.724603554522,438.606435024593,1064.96166232568,0,0,0,NA,NA
"1512","star",14,0.9,"0.9","hub","0.9",0,15,0.955790467083227,0.630088113251522,607.949077432542,376.084661656078,920.365510406226,0,0,0,NA,NA
"1513","star",15,0,"0.3","random","0.1",0,0,0.384589876338253,0.111757650888471,2279.63361588891,2009.63358291169,2687.73392792854,2295.90585191541,2564.85181418758,2065.64229142864,0.259206156271241,0.070305285953412
"1514","star",15,0,"0.6","random","0.1",0,1,0.373487839927684,0.0772351474051571,2283.17443827214,2052.14170144092,2441.62681323562,2147.81907625674,2267.45267716811,1959.12547442126,0.314820361547577,0.0535585666445397
"1515","star",15,0,"0.9","random","0.1",0,1,0.404002268329995,0.097963967349319,2287.55359668892,1892.35240151072,2893.80033212897,2181.84119941932,2469.43031493625,1984.56503552031,0.388322226246835,0.065602010958788
"1516","star",15,0,"0.3","correlated","0.1",0,0,0.417472237137094,0.092506798812656,2581.15887966976,2387.79706343663,2851.15381976315,2425.61890773827,3108.57692017586,2070.98625106227,0.344844822432864,0.120836773212406
"1517","star",15,0,"0.6","correlated","0.1",0,1,0.369124099347263,0.0944810983599866,2556.15682843134,2086.26589814899,2980.77379410854,2346.69279346164,2650.58041587337,2046.39965879476,0.296108026912608,0.0817296074012434
"1518","star",15,0,"0.9","correlated","0.1",0,1,0.37689448227667,0.104617120699168,2315.26614433798,1955.89126009088,2630.26712399243,2165.79802594008,2341.88363771118,1990.53211658666,0.307885982607991,0.0566276338129491
"1519","star",15,0,"0.3","hub","0.1",0,0,0.362493228034221,0.098822848094339,2551.11808853265,2096.70717936495,3040.30333282854,2276.98252769111,2619.67042077217,1908.929906785,0.341823443300675,0.104485418206724
"1520","star",15,0,"0.6","hub","0.1",0,1,0.376268212768493,0.110582892988887,2613.61529661096,2345.96160058169,3020.81716302941,2375.86469393551,2685.30062101094,2064.67015093634,0.28477653926481,0.082653814548958
