"","grid_id","repl","dispersal","plevel","ptype","pext","ext_pops","ext_pops_after","mean_cv","cv_reg","mean_10_during","min_10_during","max_10_during","mean_10_after","max_10_after","min_10_after","mean_cv_10_after","cv_reg_10_after"
"8549","ring-random",20,0,"0.6","hub","0.5",0,0,0.428757751994595,0.208855517301278,2423.65231025659,2208.19327387605,2650.40874533443,1780.18557055937,2392.04502160598,1471.71304444769,0.348406933776479,0.140343796839458
"8550","ring-random",20,0,"0.9","hub","0.5",0,3,0.439824091719599,0.189790825405328,2290.70307507869,2015.95674098673,2506.82658633327,1429.87317025871,1649.59885490826,1143.53168793126,0.386141297140635,0.116565671194029
"8551","ring-random",20,0,"0.3","random","0.9",0,0,0.432400776982271,0.229658007242553,2481.27189906524,2193.59584464615,2723.52886189896,1985.32807530973,2160.64488623595,1859.16651670644,0.305115621413094,0.0552764978017104
"8552","ring-random",20,0,"0.6","random","0.9",0,0,0.442493340287899,0.208853231563919,2223.85535149288,1898.34871081599,2694.51057189221,1138.80720880095,1313.66359149831,1026.5502165294,0.305278305855469,0.0905128015128462
"8553","ring-random",20,0,"0.9","random","0.9",0,3,0.452077826620211,0.218836840746858,2028.59884471887,1646.6002104986,2277.66018836339,381.038365180513,508.380906334377,296.603478307705,0.728673542827572,0.170075550205281
"8554","ring-random",20,0,"0.3","correlated","0.9",0,0,0.427645228993129,0.204196190424709,2122.47905992678,1923.60113867165,2674.71277513206,1653.60992380532,1851.40458215826,1391.54391627274,0.331227997005173,0.0903253058914833
"8555","ring-random",20,0,"0.6","correlated","0.9",0,0,0.44889289262857,0.214731135226799,2528.2859585884,2196.50657615888,3086.55821125198,1138.21849443967,1332.85505563301,897.933774840066,0.344719349016792,0.114552168433535
"8556","ring-random",20,0,"0.9","correlated","0.9",0,3,0.460719911278422,0.229689168973119,2243.37413842128,1937.16709862551,2558.73647366249,397.96824125507,577.927591258037,247.336529340643,0.869264057428508,0.295824641648267
"8557","ring-random",20,0,"0.3","hub","0.9",0,0,0.428898302364502,0.213046301044001,2441.74866782808,2092.23128460123,2662.73712812381,1893.64124273163,2134.233076519,1607.15754374818,0.311570678203418,0.0787271143069466
"8558","ring-random",20,0,"0.6","hub","0.9",0,0,0.449313270424678,0.188774714237195,2359.585624759,2000.69315831128,2673.65333539727,1170.93712503976,1298.88397219965,1060.21293017553,0.318343616071474,0.0669331831413316
"8559","ring-random",20,0,"0.9","hub","0.9",0,4,0.425475140205488,0.217470728506411,2412.85416647167,1887.01662629349,3052.59645480561,418.178176400065,594.179584372201,216.201712318161,1.0113911278212,0.238375575846946
"8560","ring-random",20,0.3,"0.3","random","0.1",0,0,0.407433660930486,0.217426099080857,2644.5113957779,2144.26011253995,3231.92447101955,2697.80182554453,3039.35198204091,2299.87455660725,0.276321354045688,0.0945427081434975
"8561","ring-random",20,0.3,"0.6","random","0.1",0,0,0.396004043477338,0.213819804245977,2575.03216678768,2306.53938501771,3010.54396438426,2572.48720595136,2910.27893317195,2319.56321194603,0.300000206823081,0.0726428190000904
"8562","ring-random",20,0.3,"0.9","random","0.1",0,0,0.412684515588754,0.20213307815009,2419.25791953438,2055.17671630208,2796.984001399,2305.98693767107,2498.39947854595,2125.26968115751,0.351679551612474,0.0555944444303577
"8563","ring-random",20,0.3,"0.3","correlated","0.1",0,0,0.420328049883278,0.197714611127499,2470.62076737742,2189.6973337123,2754.87281620316,2366.25197646864,2769.18640311051,2162.41641041218,0.324530501825014,0.0812718714721273
